time,thrust
1.033,4826.1132
1.034,4825.9439
1.035,4825.7747
1.036,4825.6055
1.037,4825.4362
1.038,4825.2669
1.039,4825.0977
1.04,4824.9284
1.041,4824.7591
1.042,4824.5897
1.043,4824.4204
1.044,4824.2511
1.045,4824.0818
1.046,4823.9124
1.047,4823.743
1.048,4823.5737
1.049,4823.4043
1.05,4823.2349
1.051,4823.0655
1.052,4822.8961
1.053,4822.7266
1.054,4822.5572
1.055,4822.3878
1.056,4822.2183
1.057,4822.0488
1.058,4821.8794
1.059,4821.7099
1.06,4821.5404
1.061,4821.3709
1.062,4821.2014
1.063,4821.0318
1.064,4820.8623
1.065,4820.6927
1.066,4820.5232
1.067,4820.3536
1.068,4820.184
1.069,4820.0145
1.07,4819.8449
1.071,4819.6752
1.072,4819.5056
1.073,4819.336
1.074,4819.1663
1.075,4818.9967
1.076,4818.827
1.077,4818.6574
1.078,4818.4877
1.079,4818.318
1.08,4818.1483
1.081,4817.9786
1.082,4817.8088
1.083,4817.6391
1.084,4817.4694
1.085,4817.2996
1.086,4817.1298
1.087,4816.9601
1.088,4816.7903
1.089,4816.6205
1.09,4816.4507
1.091,4816.2809
1.092,4816.111
1.093,4815.9412
1.094,4815.7714
1.095,4815.6015
1.096,4815.4316
1.097,4815.2618
1.098,4815.0919
1.099,4814.922
1.1,4814.7521
1.101,4814.5821
1.102,4814.4122
1.103,4814.2423
1.104,4814.0723
1.105,4813.9024
1.106,4813.7324
1.107,4813.5624
1.108,4813.3924
1.109,4813.2224
1.11,4813.0524
1.111,4812.8824
1.112,4812.7123
1.113,4812.5423
1.114,4812.3722
1.115,4812.2022
1.116,4812.0321
1.117,4811.862
1.118,4811.6919
1.119,4811.5218
1.12,4811.3517
1.121,4811.1816
1.122,4811.0115
1.123,4810.8413
1.124,4810.6712
1.125,4810.501
1.126,4810.3308
1.127,4810.1606
1.128,4809.9904
1.129,4809.8202
1.13,4809.65
1.131,4809.4798
1.132,4809.3095
1.133,4809.1393
1.134,4808.969
1.135,4808.7988
1.136,4808.6285
1.137,4808.4582
1.138,4808.2879
1.139,4808.1176
1.14,4807.9473
1.141,4807.7769
1.142,4807.6066
1.143,4807.4362
1.144,4807.2659
1.145,4807.0955
1.146,4806.9251
1.147,4806.7547
1.148,4806.5843
1.149,4806.4139
1.15,4806.2435
1.151,4806.0731
1.152,4805.9026
1.153,4805.7322
1.154,4805.5617
1.155,4805.3912
1.156,4805.2207
1.157,4805.0502
1.158,4804.8797
1.159,4804.7092
1.16,4804.5387
1.161,4804.3682
1.162,4804.1976
1.163,4804.0271
1.164,4803.8565
1.165,4803.6859
1.166,4803.5153
1.167,4803.3447
1.168,4803.1741
1.169,4803.0035
1.17,4802.8329
1.171,4802.6622
1.172,4802.4916
1.173,4802.3209
1.174,4802.1503
1.175,4801.9796
1.176,4801.8089
1.177,4801.6382
1.178,4801.4675
1.179,4801.2968
1.18,4801.126
1.181,4800.9553
1.182,4800.7846
1.183,4800.6138
1.184,4800.443
1.185,4800.2722
1.186,4800.1015
1.187,4799.9306
1.188,4799.7598
1.189,4799.589
1.19,4799.4182
1.191,4799.2473
1.192,4799.0765
1.193,4798.9056
1.194,4798.7348
1.195,4798.5639
1.196,4798.393
1.197,4798.2221
1.198,4798.0512
1.199,4797.8802
1.2,4797.7093
1.201,4797.5384
1.202,4797.3674
1.203,4797.1964
1.204,4797.0255
1.205,4796.8545
1.206,4796.6835
1.207,4796.5125
1.208,4796.3415
1.209,4796.1704
1.21,4795.9994
1.211,4795.8283
1.212,4795.6573
1.213,4795.4862
1.214,4795.3151
1.215,4795.1441
1.216,4794.973
1.217,4794.8018
1.218,4794.6307
1.219,4794.4596
1.22,4794.2885
1.221,4794.1173
1.222,4793.9461
1.223,4793.775
1.224,4793.6038
1.225,4793.4326
1.226,4793.2614
1.227,4793.0902
1.228,4792.919
1.229,4792.7477
1.23,4792.5765
1.231,4792.4053
1.232,4792.234
1.233,4792.0627
1.234,4791.8914
1.235,4791.7201
1.236,4791.5488
1.237,4791.3775
1.238,4791.2062
1.239,4791.0349
1.24,4790.8635
1.241,4790.6922
1.242,4790.5208
1.243,4790.3494
1.244,4790.1781
1.245,4790.0067
1.246,4789.8353
1.247,4789.6638
1.248,4789.4924
1.249,4789.321
1.25,4789.1495
1.251,4788.9781
1.252,4788.8066
