Time (s),Oxidizer Mass (kg),Fuel Mass (kg)
0.797,11.593824,2.2230527
0.798,11.591714,2.2227063
0.799,11.589605,2.22236
0.8,11.587496,2.2220136
0.801,11.585386,2.2216673
0.802,11.583277,2.221321
0.803,11.581168,2.2209748
0.804,11.579059,2.2206285
0.805,11.57695,2.2202823
0.806,11.574841,2.219936
0.807,11.572733,2.2195898
0.808,11.570624,2.2192436
0.809,11.568515,2.2188975
0.81,11.566407,2.2185513
0.811,11.564298,2.2182052
0.812,11.56219,2.2178591
0.813,11.560082,2.217513
0.814,11.557973,2.2171669
0.815,11.555865,2.2168208
0.816,11.553757,2.2164748
0.817,11.551649,2.2161287
0.818,11.549541,2.2157827
0.819,11.547433,2.2154367
0.82,11.545325,2.2150908
0.821,11.543218,2.2147448
0.822,11.54111,2.2143989
0.823,11.539002,2.214053
0.824,11.536895,2.2137071
0.825,11.534787,2.2133612
0.826,11.53268,2.2130153
0.827,11.530573,2.2126695
0.828,11.528466,2.2123236
0.829,11.526358,2.2119778
0.83,11.524251,2.211632
0.831,11.522144,2.2112862
0.832,11.520037,2.2109405
0.833,11.517931,2.2105947
0.834,11.515824,2.210249
0.835,11.513717,2.2099033
0.836,11.511611,2.2095576
0.837,11.509504,2.2092119
0.838,11.507398,2.2088663
0.839,11.505291,2.2085206
0.84,11.503185,2.208175
0.841,11.501079,2.2078294
0.842,11.498972,2.2074838
0.843,11.496866,2.2071383
0.844,11.49476,2.2067927
0.845,11.492654,2.2064472
0.846,11.490548,2.2061017
0.847,11.488443,2.2057562
0.848,11.486337,2.2054107
0.849,11.484231,2.2050652
0.85,11.482126,2.2047198
0.851,11.48002,2.2043744
0.852,11.477915,2.204029
0.853,11.475809,2.2036836
0.854,11.473704,2.2033382
0.855,11.471599,2.2029929
0.856,11.469494,2.2026475
0.857,11.467388,2.2023022
0.858,11.465283,2.2019569
0.859,11.463179,2.2016116
0.86,11.461074,2.2012663
0.861,11.458969,2.2009211
0.862,11.456864,2.2005759
0.863,11.45476,2.2002306
0.864,11.452655,2.1998855
0.865,11.450551,2.1995403
0.866,11.448446,2.1991951
0.867,11.446342,2.19885
0.868,11.444238,2.1985048
0.869,11.442133,2.1981597
0.87,11.440029,2.1978146
0.871,11.437925,2.1974696
0.872,11.435821,2.1971245
0.873,11.433717,2.1967795
0.874,11.431613,2.1964344
0.875,11.42951,2.1960894
0.876,11.427406,2.1957444
0.877,11.425302,2.1953995
0.878,11.423199,2.1950545
0.879,11.421096,2.1947096
0.88,11.418992,2.1943647
0.881,11.416889,2.1940198
0.882,11.414786,2.1936749
0.883,11.412682,2.19333
0.884,11.410579,2.1929852
0.885,11.408476,2.1926403
0.886,11.406373,2.1922955
0.887,11.404271,2.1919507
0.888,11.402168,2.191606
0.889,11.400065,2.1912612
0.89,11.397962,2.1909164
0.891,11.39586,2.1905717
0.892,11.393757,2.190227
0.893,11.391655,2.1898823
0.894,11.389553,2.1895376
0.895,11.38745,2.189193
0.896,11.385348,2.1888483
0.897,11.383246,2.1885037
0.898,11.381144,2.1881591
0.899,11.379042,2.1878145
0.9,11.37694,2.18747
0.901,11.374838,2.1871254
0.902,11.372737,2.1867809
0.903,11.370635,2.1864363
0.904,11.368533,2.1860918
0.905,11.366432,2.1857474
0.906,11.36433,2.1854029
0.907,11.362229,2.1850584
0.908,11.360128,2.184714
0.909,11.358026,2.1843696
0.91,11.355925,2.1840252
0.911,11.353824,2.1836808
0.912,11.351723,2.1833364
0.913,11.349622,2.1829921
0.914,11.347521,2.1826478
0.915,11.345421,2.1823035
0.916,11.34332,2.1819592
0.917,11.341219,2.1816149
0.918,11.339119,2.1812706
0.919,11.337018,2.1809264
0.92,11.334918,2.1805821
0.921,11.332818,2.1802379
0.922,11.330717,2.1798937
0.923,11.328617,2.1795496
0.924,11.326517,2.1792054
0.925,11.324417,2.1788613
0.926,11.322317,2.1785171
